排名,电影名,年份,国家,类型,导演,演员,评论,评分,评价人数,点击数,名著改编
1,肖申克的救赎,1994,美国,犯罪剧情,弗兰克·德拉邦特,蒂姆·罗宾斯/...,希望让人自由。,9.7,2483038人评价,0,1
2,霸王别姬,1993,中国大陆中国香港,剧情爱情同性,陈凯歌,张国荣/张丰毅...,风华绝代。,9.6,1845964人评价,0,1
3,阿甘正传,1994,美国,剧情爱情,罗伯特·泽米吉斯,汤姆·汉克斯/...,一部美国近现代史。,9.5,1865982人评价,0,0
4,这个杀手不太冷,1994,法国美国,剧情动作犯罪,吕克·贝松,让·雷诺/娜塔莉·波特曼...,怪蜀黍和小萝莉不得不说的故事。,9.4,2029009人评价,0,1
5,泰坦尼克号,1997,美国墨西哥澳大利亚加拿大,剧情爱情灾难,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥...,失去的才是永恒的。 ,9.4,1827694人评价,0,0
6,美丽人生,1997,意大利,剧情喜剧爱情战争,罗伯托·贝尼尼,罗伯托·贝尼尼...,最美的谎言。,9.6,1143956人评价,0,1
7,千与千寻,2001,日本,剧情动画奇幻,宫崎骏,柊瑠美/入野自由...,最好的宫崎骏，最好的久石让。 ,9.4,1946859人评价,2,0
8,辛德勒的名单,1993,美国,剧情历史战争,史蒂文·斯皮尔伯格,连姆·尼森...,拯救一个人，就是拯救整个世界。,9.5,953861人评价,0,0
9,盗梦空间,2010,美国英国,剧情科幻悬疑冒险,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥...,诺兰给了我们一场无法盗取的梦。,9.3,1793490人评价,0,1
10,忠犬八公的故事,2009,美国英国,剧情,莱塞·霍尔斯道姆,理查·基尔...,永远都不能忘记你所爱的人。,9.4,1231814人评价,0,1
11,星际穿越,2014,美国英国加拿大,剧情科幻冒险,克里斯托弗·诺兰,马修·麦康纳...,爱是一种力量，让我们超越时空感知它的存在。,9.3,1470769人评价,0,0
12,楚门的世界,1998,美国,剧情科幻,彼得·威尔,金·凯瑞/劳拉·琳妮...,如果再也不能见到你，祝你早安，午安，晚安。,9.3,1393096人评价,0,0
